NAME,Income in the past 12 months below poverty level: ,Male (total): ,Male: Under 5 years,Male: 5 years,Male: 6 to 11 years,Male: 12 to 14 years,Male: 15 years,Male: 16 to 17 years,Male: 18 to 24 years,Male: 25 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 years and over,Female (total):,Female: Under 5 years,Female: 5 years,Female: 6 to 11 years,Female: 12 to 14 years,Female: 15 years,Female: 16 to 17 years,Female: 18 to 24 years,Female: 25 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 years and over
115.06,14.11%,4.67%,1.46%,0.00%,0.47%,0.34%,0.00%,0.00%,0.26%,0.39%,0.58%,0.37%,0.37%,0.00%,0.43%,9.44%,0.32%,0.00%,0.73%,0.52%,0.00%,1.87%,0.39%,1.68%,1.12%,0.78%,0.00%,2.02%,0.00%
116.02,9.42%,4.94%,0.00%,0.00%,0.15%,0.40%,0.00%,0.00%,1.65%,0.00%,0.48%,1.71%,0.37%,0.19%,0.00%,4.48%,0.00%,0.00%,0.00%,0.42%,0.18%,0.08%,0.41%,0.22%,0.44%,1.61%,0.27%,0.41%,0.44%
116.03,2.66%,1.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.65%,0.00%,0.18%,0.06%,0.20%,0.00%,0.00%,1.57%,0.00%,0.20%,0.63%,0.08%,0.00%,0.14%,0.00%,0.00%,0.20%,0.08%,0.24%,0.00%,0.00%
116.04,0.11%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
117.01,8.58%,5.71%,0.49%,0.00%,0.28%,0.00%,0.00%,0.44%,0.00%,1.79%,0.23%,0.84%,0.23%,0.70%,0.70%,2.87%,0.00%,0.00%,0.26%,0.51%,0.30%,0.00%,0.00%,0.00%,0.23%,0.91%,0.40%,0.00%,0.26%
117.03,8.78%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.23%,0.00%,0.00%,0.20%,0.00%,0.37%,7.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.57%,0.00%,1.29%,0.46%,1.00%,2.23%
117.04,10.94%,6.08%,1.00%,0.00%,0.00%,2.18%,0.00%,1.87%,0.00%,0.00%,0.04%,0.04%,0.33%,0.29%,0.31%,4.86%,0.00%,0.00%,1.05%,0.00%,0.00%,0.00%,0.33%,0.00%,2.94%,0.00%,0.18%,0.00%,0.36%
118.01,0.58%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.15%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
118.03,4.47%,0.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.09%,0.36%,0.12%,0.00%,0.33%,3.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.42%,0.33%,0.00%,0.81%,0.57%,0.99%
118.04,10.16%,4.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.63%,0.00%,0.67%,0.99%,0.63%,1.66%,5.50%,0.55%,0.00%,0.00%,0.00%,0.00%,0.83%,0.00%,0.00%,0.00%,1.15%,0.00%,2.41%,0.55%
119,6.04%,3.26%,0.20%,0.00%,0.84%,0.35%,0.00%,0.00%,0.00%,0.44%,0.02%,0.42%,0.99%,0.00%,0.00%,2.79%,0.32%,0.00%,0.37%,0.00%,0.00%,0.00%,0.22%,0.25%,0.59%,0.00%,0.20%,0.49%,0.35%
120,3.00%,1.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.63%,0.44%,0.31%,1.43%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.37%,0.00%,0.16%,0.21%,0.26%,0.29%
121,5.81%,1.64%,0.45%,0.00%,0.33%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.42%,0.15%,0.00%,4.17%,0.33%,0.00%,0.27%,0.00%,0.00%,0.00%,0.27%,0.95%,0.00%,0.12%,1.40%,0.27%,0.57%
122,5.72%,1.58%,0.59%,0.00%,0.00%,0.11%,0.11%,0.00%,0.11%,0.15%,0.00%,0.15%,0.37%,0.00%,0.00%,4.14%,0.48%,0.00%,0.00%,0.11%,0.00%,0.15%,1.06%,0.37%,0.07%,0.11%,0.81%,0.26%,0.73%
123,9.32%,2.42%,0.17%,0.00%,0.75%,0.00%,0.00%,0.00%,0.37%,0.43%,0.00%,0.29%,0.12%,0.09%,0.20%,6.91%,0.00%,0.40%,0.00%,0.40%,0.00%,0.20%,0.00%,0.49%,0.00%,0.49%,0.63%,0.46%,3.83%
124,5.98%,2.24%,0.00%,0.00%,0.26%,0.62%,0.00%,0.42%,0.00%,0.00%,0.47%,0.21%,0.26%,0.00%,0.00%,3.75%,0.00%,0.26%,0.62%,0.42%,0.00%,0.36%,0.00%,0.00%,0.21%,0.47%,0.68%,0.73%,0.00%
