Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
St. Margaret's House Soup Kitchen,"117 N Lafayette Boulevard, South Bend, IN 46601",10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,Closed,Closed,Monday: 10:00 am - 4:00 pm | Tuesday: 10:00 am - 4:00 pm | Wednesday: 10:00 am - 4:00 pm | Thursday: 10:00 am - 4:00 pm | Friday: 10:00 am - 4:00 pm | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,Yes,Walk in,,County residents only: Women only,Spanish,"https://www.google.com/maps/search/?api=1&query=117 N Lafayette Boulevard, South Bend, IN 46601"
St. Paul's Food Pantry,"1001 W. Colfax Ave., South Bend, IN 46616",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"State-issued photo ID required | One document showing proof of address (mail, lease, rent receipt) required",,Walk in,,"Residents in zip code: 46616, 46601",English,"https://www.google.com/maps/search/?api=1&query=1001 W. Colfax Ave., South Bend, IN 46616"
Health Plus Indiana Pantry/AIDS Ministries,"201 S William St, South Bend, IN 46601",9:00 am - 4:00 pm,9:00 am - 4:00 pm,,9:00 am - 4:00 pm,9:00 am - 1:00 pm,,,Monday: 9:00 am - 4:00 pm | Tuesday: 9:00 am - 4:00 pm | Wednesday: Hours currently Unavailable | Thursday: 9:00 am - 4:00 pm | Friday: 9:00 am - 1:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,Yes,,,,English | Spanish,"https://www.google.com/maps/search/?api=1&query=201 S William St, South Bend, IN 46601"
Hope Ministries/ Rescue Mission,"423 South Lafayette Blvd, South Bend, IN 46601","11:45 am - 12:45 pm, 6:45 pm - 7:30 pm","11:45 am - 12:45 pm, 6:45 pm - 7:30 pm","11:45 am - 12:45 pm, 6:45 pm - 7:30 pm","11:45 am - 12:45 pm, 6:45 pm - 7:30 pm","11:45 am - 12:45 pm, 6:45 pm - 7:30 pm",11:45 am - 12:45 pm,"11:45 am - 12:45 pm, 6:45 pm - 7:30 pm","Monday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm | Tuesday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm | Wednesday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm | Thursday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm | Friday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm | Saturday: 11:45 am - 12:45 pm | Sunday: 11:45 am - 12:45 pm, 6:45 pm - 7:30 pm",All ages welcome,No documents required,Yes,Walk in,,Open to all,Spanish,"https://www.google.com/maps/search/?api=1&query=423 South Lafayette Blvd, South Bend, IN 46601"
Monroe Circle Community Center at Granger Community Church,"526 W Western Ave, South Bend, IN 46601",5:00 pm - 7:00 pm,,,,,,,Monday: 5:00 pm - 7:00 pm | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,,Walk in,Twice per month,Residents in zip code: 46601,English,"https://www.google.com/maps/search/?api=1&query=526 W Western Ave, South Bend, IN 46601"
Salvation Army of South Bend,"900 West Western Ave, South Bend, IN 46601",9:00 am - 12:00 pm,9:00 am - 12:00 pm,Closed,Closed,9:00 am - 12:00 pm,Closed,Closed,Monday: 9:00 am - 12:00 pm | Tuesday: 9:00 am - 12:00 pm | Wednesday: Closed | Thursday: Closed | Friday: 9:00 am - 12:00 pm | Saturday: Closed | Sunday: Closed,All ages welcome,Birth certificates are required for all household members | Social security card required for all household members,,Walk in,,County residents only: St Joseph County,English,"https://www.google.com/maps/search/?api=1&query=900 West Western Ave, South Bend, IN 46601"
County Line Brethren Church,"69988 U.S. 31, Lakeville, IN 46536",Closed,Closed,Closed,Closed,Closed,Closed,Closed,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,,Walk in,,"Residents in zip code: 46536, 46537",English,"https://www.google.com/maps/search/?api=1&query=69988 U.S. 31, Lakeville, IN 46536"
Abundant Faith Family Ministries,"1318 Lincoln Way W South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1318 Lincoln Way W South Bend, IN 46628"
Adult & Teen Challenge Northern Indiana,"1111 W. Bristol Street Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1111 W. Bristol Street Elkhart, IN 46514"
Antioch Missionary Baptist Church,"1533 W. Ewing Avenue South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1533 W. Ewing Avenue South Bend, IN 46613"
Augustana Luthern Church,"1133 Kilbourn Street C Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1133 Kilbourn Street C Elkhart, IN 46514"
Beacon Health Systems Community Impact,"710 N Niles Ave South Bend, IN 46617",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=710 N Niles Ave South Bend, IN 46617"
Boys & Girls Club - Bremen,"700 W. South Street Bremen, IN 46506",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=700 W. South Street Bremen, IN 46506"
Boys & Girls Club - Goshen,"306 Crescent Street Goshen, IN 46526",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=306 Crescent Street Goshen, IN 46526"
Boys & Girls Club - Middlebury,"56805 Northridge Dr. Middlebury, IN 46540",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=56805 Northridge Dr. Middlebury, IN 46540"
Boys & Girls Club - Nappanee,"900 E. Centennial Street Nappanee, IN 46550",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=900 E. Centennial Street Nappanee, IN 46550"
Brady Center,"1027 McPherson Street, Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1027 McPherson Street, Elkhart, IN 46514"
Bread of Life,"6770 N Michigan Road Plymouth, IN 46563",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=6770 N Michigan Road Plymouth, IN 46563"
Calvary United Methodist Church,"2222 W. Indiana Avenue Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2222 W. Indiana Avenue Elkhart, IN 46516"
Camp Millhouse,"25600 Kelly Road South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=25600 Kelly Road South Bend, IN 46614"
