NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
32,5192.0,2582.0,121.0,82.0,220.0,73.0,147.0,40.0,0.0,47.0,166.0,351.0,155.0,171.0,212.0,159.0,108.0,43.0,122.0,36.0,74.0,148.0,42.0,38.0,27.0,2610.0,285.0,124.0,121.0,62.0,37.0,0.0,13.0,118.0,143.0,200.0,138.0,129.0,157.0,333.0,108.0,84.0,71.0,30.0,144.0,121.0,84.0,43.0,65.0
33,2888.0,1542.0,91.0,160.0,234.0,27.0,36.0,0.0,0.0,84.0,123.0,135.0,61.0,72.0,86.0,119.0,47.0,74.0,15.0,9.0,71.0,51.0,30.0,8.0,9.0,1346.0,10.0,116.0,61.0,86.0,20.0,67.0,0.0,57.0,18.0,134.0,172.0,67.0,161.0,180.0,5.0,0.0,18.0,27.0,7.0,60.0,26.0,44.0,10.0
34,3886.0,1922.0,79.0,244.0,145.0,170.0,0.0,50.0,85.0,81.0,131.0,159.0,58.0,117.0,86.0,113.0,206.0,17.0,0.0,38.0,13.0,51.0,0.0,65.0,14.0,1964.0,209.0,107.0,95.0,123.0,55.0,72.0,0.0,149.0,184.0,89.0,241.0,96.0,96.0,150.0,66.0,16.0,27.0,72.0,12.0,50.0,14.0,30.0,11.0
35,2937.0,1360.0,53.0,58.0,111.0,13.0,28.0,1.0,38.0,101.0,111.0,148.0,131.0,46.0,64.0,93.0,18.0,20.0,69.0,136.0,32.0,61.0,18.0,10.0,0.0,1577.0,101.0,54.0,130.0,43.0,65.0,9.0,56.0,86.0,148.0,127.0,153.0,55.0,113.0,57.0,51.0,43.0,13.0,36.0,75.0,127.0,26.0,0.0,9.0
101,2799.0,1456.0,105.0,116.0,86.0,23.0,45.0,49.0,0.0,11.0,160.0,123.0,193.0,44.0,0.0,69.0,147.0,95.0,6.0,25.0,13.0,37.0,12.0,59.0,38.0,1343.0,135.0,143.0,131.0,56.0,0.0,0.0,0.0,71.0,163.0,173.0,173.0,31.0,21.0,51.0,80.0,6.0,31.0,0.0,31.0,24.0,0.0,12.0,11.0
102.01,3716.0,1668.0,26.0,221.0,97.0,39.0,60.0,101.0,12.0,79.0,104.0,114.0,98.0,90.0,131.0,94.0,152.0,48.0,44.0,47.0,39.0,38.0,34.0,0.0,0.0,2048.0,121.0,179.0,164.0,54.0,15.0,53.0,25.0,37.0,210.0,192.0,174.0,158.0,7.0,81.0,172.0,18.0,86.0,67.0,52.0,40.0,40.0,52.0,51.0
102.02,1685.0,1000.0,0.0,76.0,84.0,80.0,6.0,0.0,0.0,36.0,131.0,103.0,81.0,25.0,0.0,107.0,0.0,25.0,98.0,19.0,14.0,31.0,50.0,27.0,7.0,685.0,36.0,11.0,26.0,0.0,0.0,0.0,0.0,5.0,111.0,41.0,61.0,40.0,30.0,18.0,51.0,40.0,65.0,24.0,0.0,70.0,15.0,29.0,12.0
103,5682.0,3283.0,594.0,82.0,170.0,38.0,121.0,37.0,67.0,147.0,503.0,336.0,41.0,110.0,134.0,162.0,86.0,29.0,181.0,64.0,60.0,173.0,106.0,35.0,7.0,2399.0,137.0,172.0,145.0,72.0,115.0,0.0,0.0,48.0,189.0,38.0,154.0,85.0,153.0,129.0,228.0,152.0,78.0,61.0,88.0,120.0,152.0,27.0,56.0
104,3228.0,1695.0,170.0,133.0,77.0,108.0,57.0,32.0,0.0,58.0,107.0,172.0,66.0,129.0,83.0,56.0,129.0,0.0,50.0,96.0,25.0,61.0,37.0,12.0,37.0,1533.0,90.0,39.0,27.0,34.0,32.0,8.0,17.0,62.0,103.0,69.0,99.0,103.0,70.0,103.0,163.0,68.0,156.0,81.0,36.0,94.0,34.0,17.0,28.0
105,3047.0,1712.0,215.0,106.0,176.0,22.0,23.0,9.0,31.0,10.0,135.0,166.0,53.0,94.0,90.0,125.0,122.0,24.0,58.0,52.0,64.0,47.0,42.0,39.0,9.0,1335.0,124.0,103.0,65.0,30.0,16.0,0.0,0.0,12.0,124.0,139.0,67.0,62.0,30.0,212.0,67.0,22.0,43.0,32.0,56.0,68.0,28.0,9.0,26.0
106,3776.0,1851.0,62.0,66.0,21.0,13.0,112.0,101.0,68.0,51.0,105.0,20.0,207.0,132.0,180.0,67.0,212.0,61.0,54.0,23.0,94.0,81.0,12.0,94.0,15.0,1925.0,57.0,186.0,93.0,47.0,143.0,71.0,82.0,114.0,55.0,46.0,138.0,104.0,148.0,84.0,75.0,81.0,94.0,50.0,50.0,139.0,45.0,14.0,9.0
107,4006.0,1999.0,205.0,101.0,110.0,76.0,8.0,0.0,9.0,217.0,142.0,219.0,82.0,61.0,187.0,35.0,123.0,45.0,105.0,32.0,73.0,83.0,29.0,30.0,27.0,2007.0,195.0,110.0,66.0,20.0,62.0,45.0,126.0,101.0,156.0,32.0,81.0,156.0,218.0,163.0,78.0,28.0,88.0,51.0,67.0,51.0,47.0,40.0,26.0
108,4325.0,1984.0,150.0,204.0,66.0,108.0,101.0,29.0,3.0,16.0,90.0,103.0,180.0,96.0,150.0,143.0,156.0,16.0,99.0,54.0,33.0,48.0,63.0,50.0,26.0,2341.0,182.0,168.0,198.0,78.0,39.0,35.0,0.0,21.0,85.0,111.0,206.0,130.0,159.0,126.0,142.0,34.0,104.0,69.0,66.0,63.0,116.0,102.0,107.0
109.01,4280.0,2010.0,36.0,68.0,160.0,15.0,0.0,0.0,0.0,61.0,149.0,118.0,119.0,56.0,115.0,125.0,143.0,172.0,69.0,45.0,305.0,74.0,53.0,72.0,55.0,2270.0,170.0,100.0,165.0,42.0,28.0,0.0,33.0,31.0,130.0,110.0,106.0,148.0,140.0,89.0,206.0,143.0,87.0,108.0,101.0,74.0,117.0,83.0,59.0
109.02,3582.0,1778.0,84.0,92.0,93.0,29.0,27.0,2.0,20.0,27.0,29.0,92.0,100.0,98.0,109.0,301.0,118.0,19.0,141.0,73.0,100.0,107.0,89.0,26.0,2.0,1804.0,51.0,60.0,89.0,129.0,37.0,0.0,0.0,7.0,101.0,102.0,98.0,119.0,35.0,171.0,254.0,31.0,198.0,57.0,87.0,25.0,101.0,22.0,30.0
110.01,2804.0,1275.0,59.0,54.0,47.0,31.0,19.0,0.0,0.0,18.0,92.0,126.0,74.0,102.0,27.0,153.0,159.0,45.0,73.0,23.0,35.0,26.0,79.0,33.0,0.0,1529.0,133.0,20.0,49.0,0.0,17.0,10.0,159.0,17.0,151.0,64.0,63.0,23.0,64.0,130.0,127.0,4.0,94.0,89.0,32.0,67.0,31.0,128.0,57.0
110.02,4556.0,2256.0,161.0,138.0,68.0,57.0,24.0,0.0,45.0,18.0,174.0,291.0,132.0,166.0,183.0,104.0,117.0,16.0,87.0,35.0,133.0,156.0,29.0,40.0,82.0,2300.0,169.0,108.0,98.0,62.0,0.0,0.0,22.0,45.0,163.0,237.0,90.0,203.0,99.0,97.0,206.0,191.0,134.0,45.0,89.0,71.0,44.0,127.0,0.0
111,4789.0,2428.0,95.0,87.0,159.0,156.0,35.0,23.0,7.0,189.0,93.0,165.0,135.0,116.0,246.0,139.0,139.0,60.0,158.0,45.0,94.0,116.0,79.0,75.0,17.0,2361.0,25.0,90.0,109.0,155.0,22.0,9.0,3.0,144.0,71.0,161.0,35.0,168.0,83.0,349.0,111.0,83.0,172.0,74.0,77.0,92.0,82.0,108.0,138.0
112.03,9438.0,4540.0,29.0,22.0,28.0,4.0,1591.0,927.0,659.0,361.0,215.0,166.0,98.0,26.0,0.0,51.0,28.0,1.0,67.0,9.0,32.0,71.0,30.0,70.0,55.0,4898.0,17.0,9.0,10.0,8.0,1857.0,1122.0,803.0,396.0,107.0,133.0,20.0,32.0,5.0,27.0,48.0,0.0,16.0,11.0,44.0,25.0,75.0,22.0,111.0
113.03,6149.0,3450.0,268.0,354.0,138.0,38.0,46.0,14.0,34.0,46.0,321.0,227.0,418.0,284.0,145.0,169.0,247.0,59.0,101.0,109.0,69.0,155.0,102.0,60.0,46.0,2699.0,130.0,203.0,120.0,46.0,14.0,19.0,22.0,104.0,122.0,152.0,182.0,165.0,160.0,71.0,302.0,44.0,216.0,171.0,40.0,249.0,30.0,37.0,100.0
113.04,2479.0,1331.0,72.0,111.0,98.0,64.0,34.0,2.0,22.0,72.0,39.0,46.0,98.0,97.0,65.0,79.0,43.0,30.0,31.0,59.0,61.0,53.0,98.0,12.0,45.0,1148.0,80.0,74.0,134.0,32.0,19.0,0.0,1.0,20.0,20.0,65.0,76.0,39.0,54.0,97.0,73.0,36.0,61.0,23.0,81.0,65.0,56.0,10.0,32.0
113.05,4427.0,1991.0,202.0,108.0,137.0,89.0,33.0,15.0,0.0,5.0,101.0,101.0,53.0,155.0,114.0,77.0,200.0,46.0,83.0,75.0,59.0,167.0,113.0,32.0,26.0,2436.0,109.0,218.0,76.0,60.0,164.0,13.0,0.0,115.0,169.0,114.0,114.0,146.0,42.0,133.0,168.0,146.0,139.0,36.0,85.0,195.0,87.0,68.0,39.0
113.06,3116.0,1363.0,31.0,92.0,111.0,42.0,16.0,5.0,5.0,36.0,22.0,55.0,71.0,71.0,118.0,40.0,104.0,44.0,41.0,54.0,100.0,119.0,95.0,49.0,42.0,1753.0,32.0,109.0,49.0,79.0,28.0,0.0,0.0,59.0,69.0,107.0,62.0,116.0,113.0,47.0,152.0,20.0,120.0,34.0,108.0,165.0,175.0,37.0,72.0
113.07,2941.0,1342.0,44.0,84.0,0.0,34.0,0.0,89.0,72.0,11.0,183.0,104.0,98.0,67.0,125.0,72.0,28.0,65.0,61.0,0.0,39.0,63.0,35.0,57.0,11.0,1599.0,20.0,126.0,94.0,113.0,20.0,108.0,18.0,67.0,128.0,174.0,84.0,57.0,42.0,96.0,109.0,13.0,42.0,18.0,35.0,78.0,45.0,80.0,32.0
113.08,4242.0,2131.0,160.0,92.0,165.0,80.0,60.0,28.0,0.0,22.0,99.0,75.0,128.0,161.0,96.0,251.0,190.0,28.0,100.0,69.0,200.0,42.0,54.0,0.0,31.0,2111.0,32.0,64.0,134.0,103.0,51.0,0.0,0.0,77.0,75.0,46.0,87.0,184.0,114.0,346.0,48.0,55.0,192.0,73.0,117.0,187.0,38.0,62.0,26.0
113.09,2672.0,1229.0,39.0,41.0,13.0,0.0,0.0,1.0,5.0,145.0,159.0,94.0,105.0,54.0,57.0,117.0,8.0,34.0,61.0,3.0,16.0,156.0,27.0,72.0,22.0,1443.0,57.0,51.0,111.0,3.0,0.0,0.0,13.0,202.0,69.0,152.0,46.0,14.0,64.0,93.0,41.0,29.0,18.0,120.0,48.0,85.0,96.0,46.0,85.0
