NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
18.02,7164.0,3486.0,461.0,280.0,230.0,23.0,0.0,48.0,21.0,42.0,97.0,283.0,234.0,189.0,191.0,74.0,284.0,105.0,52.0,226.0,127.0,180.0,158.0,90.0,91.0,3678.0,161.0,350.0,222.0,148.0,53.0,13.0,32.0,177.0,199.0,152.0,135.0,165.0,244.0,148.0,234.0,104.0,148.0,109.0,170.0,158.0,242.0,186.0,128.0
19.01,6745.0,3652.0,284.0,295.0,581.0,88.0,68.0,56.0,134.0,89.0,259.0,226.0,188.0,236.0,325.0,344.0,97.0,81.0,81.0,39.0,18.0,143.0,20.0,0.0,0.0,3093.0,391.0,145.0,291.0,54.0,95.0,71.0,101.0,70.0,211.0,108.0,285.0,60.0,170.0,212.0,64.0,49.0,296.0,21.0,93.0,253.0,17.0,15.0,21.0
19.02,4800.0,2237.0,78.0,86.0,126.0,317.0,15.0,54.0,34.0,69.0,32.0,140.0,66.0,249.0,145.0,157.0,140.0,67.0,76.0,18.0,148.0,139.0,21.0,50.0,10.0,2563.0,59.0,166.0,258.0,130.0,230.0,10.0,37.0,78.0,91.0,124.0,91.0,299.0,254.0,84.0,97.0,106.0,64.0,67.0,43.0,164.0,25.0,49.0,37.0
20.01,3552.0,1783.0,41.0,103.0,115.0,154.0,49.0,39.0,0.0,43.0,126.0,41.0,160.0,34.0,33.0,33.0,143.0,46.0,163.0,12.0,17.0,135.0,205.0,23.0,68.0,1769.0,57.0,144.0,26.0,86.0,60.0,9.0,0.0,61.0,0.0,35.0,88.0,74.0,89.0,194.0,146.0,36.0,108.0,33.0,14.0,153.0,58.0,44.0,254.0
20.02,3379.0,1812.0,129.0,47.0,85.0,85.0,63.0,0.0,26.0,75.0,140.0,174.0,95.0,86.0,162.0,119.0,125.0,0.0,49.0,15.0,41.0,150.0,101.0,35.0,10.0,1567.0,142.0,161.0,56.0,46.0,18.0,0.0,5.0,37.0,60.0,130.0,59.0,64.0,174.0,139.0,63.0,26.0,48.0,9.0,75.0,142.0,47.0,26.0,40.0
21.01,4562.0,2554.0,193.0,238.0,391.0,108.0,0.0,0.0,24.0,127.0,106.0,234.0,189.0,155.0,233.0,142.0,60.0,39.0,50.0,31.0,53.0,112.0,34.0,26.0,9.0,2008.0,153.0,142.0,168.0,145.0,14.0,15.0,40.0,19.0,112.0,176.0,88.0,148.0,218.0,127.0,69.0,62.0,27.0,73.0,47.0,81.0,35.0,11.0,38.0
21.02,5133.0,2451.0,183.0,259.0,152.0,173.0,24.0,0.0,0.0,381.0,203.0,91.0,140.0,151.0,178.0,208.0,68.0,0.0,65.0,22.0,24.0,97.0,28.0,4.0,0.0,2682.0,295.0,221.0,113.0,94.0,14.0,0.0,104.0,188.0,302.0,175.0,135.0,48.0,211.0,5.0,199.0,30.0,182.0,89.0,46.0,90.0,72.0,48.0,21.0
22.01,5020.0,2461.0,189.0,334.0,72.0,323.0,41.0,5.0,56.0,37.0,173.0,232.0,56.0,171.0,288.0,50.0,121.0,26.0,63.0,35.0,39.0,33.0,57.0,42.0,18.0,2559.0,109.0,326.0,131.0,110.0,67.0,0.0,71.0,62.0,76.0,92.0,93.0,512.0,129.0,156.0,88.0,67.0,0.0,108.0,80.0,49.0,46.0,26.0,161.0
22.02,5025.0,2584.0,278.0,167.0,117.0,26.0,41.0,104.0,0.0,126.0,145.0,200.0,257.0,90.0,168.0,161.0,248.0,135.0,53.0,25.0,47.0,46.0,131.0,9.0,10.0,2441.0,183.0,256.0,86.0,75.0,103.0,42.0,83.0,17.0,270.0,137.0,208.0,36.0,20.0,192.0,214.0,68.0,74.0,28.0,95.0,195.0,8.0,22.0,29.0
23,2116.0,832.0,144.0,11.0,45.0,6.0,27.0,32.0,0.0,15.0,20.0,41.0,74.0,33.0,40.0,31.0,117.0,0.0,58.0,20.0,22.0,52.0,17.0,15.0,12.0,1284.0,80.0,94.0,76.0,40.0,27.0,0.0,22.0,0.0,85.0,150.0,66.0,44.0,27.0,51.0,147.0,23.0,32.0,17.0,72.0,103.0,79.0,11.0,38.0
24,4856.0,2318.0,164.0,182.0,172.0,50.0,16.0,30.0,147.0,116.0,332.0,200.0,142.0,159.0,82.0,97.0,118.0,75.0,28.0,26.0,109.0,35.0,11.0,27.0,0.0,2538.0,135.0,96.0,186.0,136.0,86.0,35.0,0.0,255.0,234.0,184.0,160.0,206.0,78.0,183.0,189.0,40.0,50.0,32.0,23.0,86.0,110.0,0.0,34.0
26,4163.0,2337.0,141.0,254.0,259.0,19.0,31.0,0.0,24.0,24.0,148.0,219.0,178.0,131.0,171.0,98.0,219.0,151.0,0.0,16.0,111.0,25.0,84.0,4.0,30.0,1826.0,308.0,88.0,196.0,70.0,29.0,8.0,0.0,43.0,206.0,169.0,76.0,66.0,98.0,70.0,124.0,0.0,42.0,64.0,28.0,70.0,39.0,7.0,25.0
27,1511.0,788.0,42.0,43.0,84.0,0.0,9.0,8.0,0.0,0.0,11.0,17.0,58.0,140.0,25.0,57.0,110.0,40.0,60.0,0.0,49.0,17.0,18.0,0.0,0.0,723.0,97.0,7.0,10.0,89.0,40.0,7.0,5.0,38.0,22.0,68.0,17.0,78.0,46.0,89.0,16.0,20.0,43.0,9.0,9.0,0.0,2.0,0.0,11.0
29,4401.0,1915.0,258.0,51.0,22.0,0.0,0.0,20.0,4.0,37.0,85.0,167.0,134.0,18.0,208.0,280.0,43.0,149.0,87.0,84.0,68.0,52.0,116.0,16.0,16.0,2486.0,58.0,22.0,112.0,86.0,75.0,0.0,0.0,213.0,222.0,146.0,55.0,284.0,289.0,105.0,183.0,21.0,148.0,77.0,112.0,121.0,18.0,23.0,116.0
